symbol,price,volume,volume_percent
COTI/USDT,$0.10 ,"$21,871,074 ",0.04%
XEM/USDT,$0.04 ,"$20,562,816 ",0.04%
LINK/USD,$7.74 ,"$20,372,190 ",0.04%
DGB/USDT,$0.01 ,"$19,331,858 ",0.04%
OGN/USDT,$0.15 ,"$18,938,705 ",0.04%
GALA/BUSD,$0.05 ,"$18,596,252 ",0.04%
OP/USD,$2.47 ,"$18,166,550 ",0.04%
NEAR/BUSD,$2.56 ,"$17,968,655 ",0.03%
DAR/USDT,$0.24 ,"$17,492,598 ",0.03%
GMT/BUSD,$0.44 ,"$16,923,142 ",0.03%
EOS/USD,$1.22 ,"$16,588,370 ",0.03%
WAVES/BUSD,$2.84 ,"$16,582,529 ",0.03%
CTSI/USDT,$0.18 ,"$15,684,286 ",0.03%
BAT/USDT,$0.31 ,"$15,298,311 ",0.03%
LPT/USDT,$8.69 ,"$15,287,022 ",0.03%
LINK/BUSD,$7.75 ,"$14,685,905 ",0.03%
SAND/USD,$0.79 ,"$14,393,780 ",0.03%
NEAR/USD,$2.56 ,"$14,197,070 ",0.03%
BCH/USD,$148.74 ,"$14,160,310 ",0.03%
APE/BUSD,$5.69 ,"$13,201,807 ",0.03%
ICP/BUSD,$6.91 ,"$12,630,105 ",0.02%
FTM/USD,$0.54 ,"$12,511,550 ",0.02%
SPELL/USDT,$0.00 ,"$12,070,423 ",0.02%
AMB/BUSD,$0.02 ,"$11,840,697 ",0.02%
QNT/USDT,$137.69 ,"$11,805,064 ",0.02%
ANT/USDT,$2.95 ,"$10,993,416 ",0.02%
AVAX/USD,$20.11 ,"$10,206,680 ",0.02%
GAL/BUSD,$2.31 ,"$9,134,402 ",0.02%
API3/USDT,$1.84 ,"$8,850,772 ",0.02%
DOT/BUSD,$7.27 ,"$8,518,879 ",0.02%
UNI/USD,$7.09 ,"$7,883,640 ",0.02%
APT/USD,$13.56 ,"$7,820,150 ",0.02%
TRX/BUSD,$0.07 ,"$5,981,272 ",0.01%
ENS/USD,$16.52 ,"$4,770,560 ",0.01%
EGLD/USD,$52.06 ,"$4,737,060 ",0.01%
ATOM/USD,$14.01 ,"$4,474,320 ",0.01%
MANA/USD,$0.71 ,"$4,317,620 ",0.01%
TRX/USD,$0.07 ,"$4,292,520 ",0.01%
DEFI/USDT,$708.90 ,"$3,896,478 ",0.01%
APE/USD,$5.69 ,"$3,855,140 ",0.01%
UNI/BUSD,$7.08 ,"$3,535,184 ",0.01%
AXS/USD,$10.83 ,"$3,468,690 ",0.01%
CVX/BUSD,$6.50 ,"$3,454,479 ",0.01%
CHZ/USD,$0.14 ,"$3,323,170 ",0.01%
AAVE/USD,$88.59 ,"$2,935,510 ",0.01%
GMT/USD,$0.44 ,"$2,480,220 ",0.00%
ROSE/USD,$0.08 ,"$1,895,020 ",0.00%
ALGO/USD,$0.28 ,"$1,790,810 ",0.00%
XLM/USD,$0.09 ,"$1,756,770 ",0.00%
THETA/USD,$1.23 ,"$1,164,630 ",0.00%
RUNE/USD,$1.78 ,"$795,020 ",0.00%
ICX/USD,$0.25 ,"$661,160 ",0.00%
XMR/USD,$161.46 ,"$613,930 ",0.00%
XTZ/USD,$1.23 ,"$575,030 ",0.00%
KNC/USD,$0.87 ,"$515,870 ",0.00%
