symbol,close,dateTimeUtc,dateTimeEst
RSRUSDT,0.006047,2024-03-12 03:45:00,2024-03-11 22:45:00
RPLUSDT,36.96,2024-03-12 03:45:00,2024-03-11 22:45:00
ROSEUSDT,0.17785,2024-03-12 03:45:00,2024-03-11 22:45:00
RONINUSDT,3.884,2024-03-12 03:45:00,2024-03-11 22:45:00
RNDRUSDT,11.356,2024-03-12 03:45:00,2024-03-11 22:45:00
RLCUSDT,4.239,2024-03-12 03:45:00,2024-03-11 22:45:00
RIFUSDT,0.2795,2024-03-12 03:45:00,2024-03-11 22:45:00
REQUSDT,0.1476,2024-03-12 03:45:00,2024-03-11 22:45:00
RENUSDT,0.10291,2024-03-12 03:45:00,2024-03-11 22:45:00
REIUSDT,0.07441,2024-03-12 03:45:00,2024-03-11 22:45:00
REEFUSDT,0.004065,2024-03-12 03:45:00,2024-03-11 22:45:00
RDNTUSDT,0.4163,2024-03-12 03:45:00,2024-03-11 22:45:00
RAYUSDT,1.4318,2024-03-12 03:45:00,2024-03-11 22:45:00
RAREUSDT,0.1802,2024-03-12 03:45:00,2024-03-11 22:45:00
RADUSDT,2.584,2024-03-12 03:45:00,2024-03-11 22:45:00
QUICKUSDT,0.08872,2024-03-12 03:45:00,2024-03-11 22:45:00
QTUMUSDT,5.173,2024-03-12 03:45:00,2024-03-11 22:45:00
QNTUSDT,125.9,2024-03-12 03:45:00,2024-03-11 22:45:00
QKCUSDT,0.017402,2024-03-12 03:45:00,2024-03-11 22:45:00
QIUSDT,0.02719,2024-03-12 03:45:00,2024-03-11 22:45:00
PYTHUSDT,0.8548,2024-03-12 03:45:00,2024-03-11 22:45:00
PYRUSDT,9.463,2024-03-12 03:45:00,2024-03-11 22:45:00
PUNDIXUSDT,0.6906,2024-03-12 03:45:00,2024-03-11 22:45:00
PSGUSDT,5.137,2024-03-12 03:45:00,2024-03-11 22:45:00
PROSUSDT,0.5624,2024-03-12 03:45:00,2024-03-11 22:45:00
PROMUSDT,14.077,2024-03-12 03:45:00,2024-03-11 22:45:00
POWRUSDT,0.4862,2024-03-12 03:45:00,2024-03-11 22:45:00
PORTOUSDT,3.093,2024-03-12 03:45:00,2024-03-11 22:45:00
PORTALUSDT,2.4586,2024-03-12 03:45:00,2024-03-11 22:45:00
PONDUSDT,0.03473,2024-03-12 03:45:00,2024-03-11 22:45:00
POLYXUSDT,0.2813,2024-03-12 03:45:00,2024-03-11 22:45:00
POLSUSDT,1.0193,2024-03-12 03:45:00,2024-03-11 22:45:00
PNTUSDT,0.2085,2024-03-12 03:45:00,2024-03-11 22:45:00
PIXELUSDT,0.845,2024-03-12 03:45:00,2024-03-11 22:45:00
PIVXUSDT,0.4444,2024-03-12 03:45:00,2024-03-11 22:45:00
PHAUSDT,0.1974,2024-03-12 03:45:00,2024-03-11 22:45:00
PERPUSDT,1.66747,2024-03-12 03:45:00,2024-03-11 22:45:00
PEPEUSDT,8.53e-06,2024-03-12 03:45:00,2024-03-11 22:45:00
PEOPLEUSDT,0.04857,2024-03-12 03:45:00,2024-03-11 22:45:00
PENDLEUSDT,3.1022,2024-03-12 03:45:00,2024-03-11 22:45:00
PDAUSDT,0.2385,2024-03-12 03:45:00,2024-03-11 22:45:00
OXTUSDT,0.1641,2024-03-12 03:45:00,2024-03-11 22:45:00
OSMOUSDT,1.6758,2024-03-12 03:45:00,2024-03-11 22:45:00
ORNUSDT,2.222,2024-03-12 03:45:00,2024-03-11 22:45:00
ORDIUSDT,78.416,2024-03-12 03:45:00,2024-03-11 22:45:00
OPUSDT,4.573,2024-03-12 03:45:00,2024-03-11 22:45:00
OOKIUSDT,0.002995,2024-03-12 03:45:00,2024-03-11 22:45:00
ONTUSDT,0.3763,2024-03-12 03:45:00,2024-03-11 22:45:00
ONGUSDT,0.4494,2024-03-12 03:45:00,2024-03-11 22:45:00
ONEUSDT,0.03641,2024-03-12 03:45:00,2024-03-11 22:45:00
OMUSDT,0.32112,2024-03-12 03:45:00,2024-03-11 22:45:00
OMGUSDT,1.263,2024-03-12 03:45:00,2024-03-11 22:45:00
OGUSDT,5.88,2024-03-12 03:45:00,2024-03-11 22:45:00
OGNUSDT,0.2337,2024-03-12 03:45:00,2024-03-11 22:45:00
OCEANUSDT,1.2267,2024-03-12 03:45:00,2024-03-11 22:45:00
OAXUSDT,0.229,2024-03-12 03:45:00,2024-03-11 22:45:00
NULSUSDT,0.4017,2024-03-12 03:45:00,2024-03-11 22:45:00
