symbol,close,dateTimeUtc,dateTimeEst
OMGUSDT,1.262,2024-03-12 03:45:00,2024-03-11 22:45:00
OGNUSDT,0.2336,2024-03-12 03:45:00,2024-03-11 22:45:00
OCEANUSDT,1.226,2024-03-12 03:45:00,2024-03-11 22:45:00
NTRNUSDT,1.6055,2024-03-12 03:45:00,2024-03-11 22:45:00
NMRUSDT,44.5,2024-03-12 03:45:00,2024-03-11 22:45:00
NKNUSDT,0.1738,2024-03-12 03:45:00,2024-03-11 22:45:00
NFPUSDT,0.9954,2024-03-12 03:45:00,2024-03-11 22:45:00
NEOUSDT,17.68,2024-03-12 03:45:00,2024-03-11 22:45:00
NEARUSDT,6.84,2024-03-12 03:45:00,2024-03-11 22:45:00
MTLUSDT,2.379,2024-03-12 03:45:00,2024-03-11 22:45:00
MOVRUSDT,24.104,2024-03-12 03:45:00,2024-03-11 22:45:00
MKRUSDT,2589.0,2024-03-12 03:45:00,2024-03-11 22:45:00
MINAUSDT,1.5891,2024-03-12 03:45:00,2024-03-11 22:45:00
MEMEUSDT,0.046951,2024-03-12 03:45:00,2024-03-11 22:45:00
MDTUSDT,0.11905,2024-03-12 03:45:00,2024-03-11 22:45:00
MBLUSDT,0.006428,2024-03-12 03:45:00,2024-03-11 22:45:00
MAVUSDT,0.686,2024-03-12 03:45:00,2024-03-11 22:45:00
MATICUSDT,1.2148,2024-03-12 03:45:00,2024-03-11 22:45:00
MASKUSDT,5.075,2024-03-12 03:45:00,2024-03-11 22:45:00
MANTAUSDT,3.848,2024-03-12 03:45:00,2024-03-11 22:45:00
MANAUSDT,0.7669,2024-03-12 03:45:00,2024-03-11 22:45:00
MAGICUSDT,1.4001,2024-03-12 03:45:00,2024-03-11 22:45:00
LTCUSDT,98.92,2024-03-12 03:45:00,2024-03-11 22:45:00
LSKUSDT,2.126,2024-03-12 03:45:00,2024-03-11 22:45:00
LRCUSDT,0.4304,2024-03-12 03:45:00,2024-03-11 22:45:00
LQTYUSDT,1.772,2024-03-12 03:45:00,2024-03-11 22:45:00
LPTUSDT,20.874,2024-03-12 03:45:00,2024-03-11 22:45:00
LOOMUSDT,0.11998,2024-03-12 03:45:00,2024-03-11 22:45:00
LITUSDT,1.672,2024-03-12 03:45:00,2024-03-11 22:45:00
LINKUSDT,20.861,2024-03-12 03:45:00,2024-03-11 22:45:00
LINAUSDT,0.014658,2024-03-12 03:45:00,2024-03-11 22:45:00
LEVERUSDT,0.002871,2024-03-12 03:45:00,2024-03-11 22:45:00
LDOUSDT,3.35,2024-03-12 03:45:00,2024-03-11 22:45:00
KSMUSDT,54.33,2024-03-12 03:45:00,2024-03-11 22:45:00
KNCUSDT,0.9401,2024-03-12 03:45:00,2024-03-11 22:45:00
KLAYUSDT,0.2976,2024-03-12 03:45:00,2024-03-11 22:45:00
KEYUSDT,0.008476,2024-03-12 03:45:00,2024-03-11 22:45:00
KAVAUSDT,1.0632,2024-03-12 03:45:00,2024-03-11 22:45:00
JTOUSDT,2.8734,2024-03-12 03:45:00,2024-03-11 22:45:00
JOEUSDT,0.6359,2024-03-12 03:45:00,2024-03-11 22:45:00
JASMYUSDT,0.021728,2024-03-12 03:45:00,2024-03-11 22:45:00
IOTXUSDT,0.08004,2024-03-12 03:45:00,2024-03-11 22:45:00
IOTAUSDT,0.3787,2024-03-12 03:45:00,2024-03-11 22:45:00
IOSTUSDT,0.01338,2024-03-12 03:45:00,2024-03-11 22:45:00
INJUSDT,42.63,2024-03-12 03:45:00,2024-03-11 22:45:00
IMXUSDT,3.6785,2024-03-12 03:45:00,2024-03-11 22:45:00
ILVUSDT,140.84,2024-03-12 03:45:00,2024-03-11 22:45:00
IDUSDT,1.43236,2024-03-12 03:45:00,2024-03-11 22:45:00
IDEXUSDT,0.08787,2024-03-12 03:45:00,2024-03-11 22:45:00
ICXUSDT,0.3503,2024-03-12 03:45:00,2024-03-11 22:45:00
ICPUSDT,14.66,2024-03-12 03:45:00,2024-03-11 22:45:00
HOTUSDT,0.004084,2024-03-12 03:45:00,2024-03-11 22:45:00
HOOKUSDT,1.554,2024-03-12 03:45:00,2024-03-11 22:45:00
HIGHUSDT,2.31,2024-03-12 03:45:00,2024-03-11 22:45:00
HIFIUSDT,0.8449,2024-03-12 03:45:00,2024-03-11 22:45:00
HFTUSDT,0.5071,2024-03-12 03:45:00,2024-03-11 22:45:00
HBARUSDT,0.1313,2024-03-12 03:45:00,2024-03-11 22:45:00
GTCUSDT,2.415,2024-03-12 03:45:00,2024-03-11 22:45:00
GRTUSDT,0.432,2024-03-12 03:45:00,2024-03-11 22:45:00
GMXUSDT,58.39,2024-03-12 03:45:00,2024-03-11 22:45:00
GMTUSDT,0.3638,2024-03-12 03:45:00,2024-03-11 22:45:00
GLMUSDT,0.6296,2024-03-12 03:45:00,2024-03-11 22:45:00
GLMRUSDT,0.6513,2024-03-12 03:45:00,2024-03-11 22:45:00
GASUSDT,7.282,2024-03-12 03:45:00,2024-03-11 22:45:00
GALUSDT,4.657,2024-03-12 03:45:00,2024-03-11 22:45:00
GALAUSDT,0.07358,2024-03-12 03:45:00,2024-03-11 22:45:00
FXSUSDT,9.125,2024-03-12 03:45:00,2024-03-11 22:45:00
FTMUSDT,0.7976,2024-03-12 03:45:00,2024-03-11 22:45:00
FRONTUSDT,0.8539,2024-03-12 03:45:00,2024-03-11 22:45:00
FLOWUSDT,1.581,2024-03-12 03:45:00,2024-03-11 22:45:00
FLMUSDT,0.1336,2024-03-12 03:45:00,2024-03-11 22:45:00
FILUSDT,10.851,2024-03-12 03:45:00,2024-03-11 22:45:00
FETUSDT,2.7089,2024-03-12 03:45:00,2024-03-11 22:45:00
ETHUSDT,4025.78,2024-03-12 03:45:00,2024-03-11 22:45:00
ETCUSDT,37.06,2024-03-12 03:45:00,2024-03-11 22:45:00
EOSUSDT,1.2107,2024-03-12 03:45:00,2024-03-11 22:45:00
ENSUSDT,25.59,2024-03-12 03:45:00,2024-03-11 22:45:00
ENJUSDT,0.65,2024-03-12 03:45:00,2024-03-11 22:45:00
EGLDUSDT,70.26,2024-03-12 03:45:00,2024-03-11 22:45:00
EDUUSDT,1.13264,2024-03-12 03:45:00,2024-03-11 22:45:00
DYMUSDT,7.766,2024-03-12 03:45:00,2024-03-11 22:45:00
DYDXUSDT,4.001,2024-03-12 03:45:00,2024-03-11 22:45:00
DUSKUSDT,0.3861,2024-03-12 03:45:00,2024-03-11 22:45:00
DOTUSDT,10.885,2024-03-12 03:45:00,2024-03-11 22:45:00
DOGEUSDT,0.17428,2024-03-12 03:45:00,2024-03-11 22:45:00
DENTUSDT,0.002204,2024-03-12 03:45:00,2024-03-11 22:45:00
DASHUSDT,43.21,2024-03-12 03:45:00,2024-03-11 22:45:00
DARUSDT,0.26263,2024-03-12 03:45:00,2024-03-11 22:45:00
CYBERUSDT,11.735,2024-03-12 03:45:00,2024-03-11 22:45:00
CVXUSDT,4.967,2024-03-12 03:45:00,2024-03-11 22:45:00
CTSIUSDT,0.3878,2024-03-12 03:45:00,2024-03-11 22:45:00
CTKUSDT,0.9512,2024-03-12 03:45:00,2024-03-11 22:45:00
CRVUSDT,0.8323,2024-03-12 03:45:00,2024-03-11 22:45:00
COTIUSDT,0.23069,2024-03-12 03:45:00,2024-03-11 22:45:00
COMPUSDT,90.55,2024-03-12 03:45:00,2024-03-11 22:45:00
COMBOUSDT,1.1671,2024-03-12 03:45:00,2024-03-11 22:45:00
CHZUSDT,0.1623,2024-03-12 03:45:00,2024-03-11 22:45:00
CHRUSDT,0.43,2024-03-12 03:45:00,2024-03-11 22:45:00
CFXUSDT,0.3274,2024-03-12 03:45:00,2024-03-11 22:45:00
CELRUSDT,0.03594,2024-03-12 03:45:00,2024-03-11 22:45:00
