type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,TRUUSDT,12.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,AMBUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,LRCUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,RNDRUSDT,4.67,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,LPTUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,RSRUSDT,6.5,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,NFPUSDT,5.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,BNXUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,BLZUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,COMPUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,NMRUSDT,15.5,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,CELOUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,DGBUSDT,14.5,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,ONEUSDT,8.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,SUIUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,ETHUSDT,13.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,MAVUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,IDUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,MATICUSDT,10.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,XAIUSDT,3.5,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,CHRUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,ATAUSDT,4.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,MANTAUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,CYBERUSDT,10.5,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,NEARUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,WOOUSDT,10.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,PHBUSDT,6.67,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
