type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,OMUSDT,2.17,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,SUPERUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,ICPUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,RIFUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,BALUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,XRPUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,RONINUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,ATOMUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,GTCUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,DGBUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,DENTUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,POWRUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,MANAUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,SLPUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,KNCUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,LTCUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,USTCUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,HOTUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,FRONTUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,HIFIUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,MANTAUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,WAXPUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,RUNEUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,KLAYUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,TRUUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,XLMUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
